epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,343.639,1.91693,3.18282,1.81982,0.96671,0.11799,0.31766,0.14671,1.93335,3.07027,1.94413,0.000219202,0.000219202,0.000219202
2,659.027,1.82585,1.89265,1.72669,0.58894,0.3434,0.39846,0.18636,1.96198,2.13085,1.98312,0.000426965,0.000426965,0.000426965
3,996.338,1.82583,1.7156,1.71396,0.59018,0.42321,0.43563,0.19344,1.94512,1.83295,1.91963,0.000620053,0.000620053,0.000620053
4,1259.29,1.76384,1.61036,1.67163,0.74399,0.44094,0.46563,0.20679,1.90105,1.73234,1.91615,0.000600967,0.000600967,0.000600967
5,1568.68,1.75686,1.54897,1.66347,0.75409,0.37104,0.41106,0.19186,1.91906,1.67802,1.94206,0.000578956,0.000578956,0.000578956
6,1872.8,1.72113,1.53426,1.64101,0.68432,0.47821,0.47865,0.21582,1.86951,1.6795,1.87728,0.000556945,0.000556945,0.000556945
7,2126.08,1.68557,1.4677,1.61851,0.59839,0.44483,0.46669,0.21882,1.89605,1.5861,1.90131,0.000534934,0.000534934,0.000534934
8,2325.67,1.68509,1.43303,1.61428,0.656,0.44788,0.4746,0.2234,1.91545,1.53423,1.89847,0.000512923,0.000512923,0.000512923
9,2536.53,1.6608,1.36824,1.58863,0.62121,0.49092,0.51129,0.24288,1.84838,1.46685,1.86145,0.000490912,0.000490912,0.000490912
10,3583.69,1.65496,1.3455,1.58357,0.72394,0.48448,0.51348,0.23542,1.86213,1.47055,1.86468,0.000468901,0.000468901,0.000468901
11,3683.67,1.63269,1.32507,1.57191,0.58188,0.4929,0.50465,0.23614,1.85441,1.45955,1.86971,0.00044689,0.00044689,0.00044689
12,3871,1.65995,1.31618,1.58116,0.74491,0.47779,0.52897,0.25047,1.82519,1.39606,1.84125,0.000424879,0.000424879,0.000424879
13,4054.37,1.60736,1.25881,1.54514,0.69343,0.47273,0.51947,0.24858,1.83735,1.40489,1.85119,0.000402868,0.000402868,0.000402868
14,4358.23,1.60372,1.25308,1.53734,0.63655,0.44826,0.50886,0.24777,1.83033,1.38877,1.83402,0.000380857,0.000380857,0.000380857
15,4492.56,1.58131,1.21308,1.53736,0.68325,0.50687,0.53831,0.25644,1.82735,1.33943,1.83645,0.000358846,0.000358846,0.000358846
16,4692.34,1.56043,1.20468,1.53211,0.78051,0.49977,0.53972,0.25528,1.81515,1.35641,1.81575,0.000336835,0.000336835,0.000336835
17,4894.28,1.5739,1.19224,1.52542,0.82658,0.47741,0.53999,0.26012,1.81605,1.30718,1.8249,0.000314824,0.000314824,0.000314824
18,5135.84,1.54827,1.17193,1.51736,0.69433,0.51952,0.53593,0.25999,1.82401,1.3232,1.82813,0.000292813,0.000292813,0.000292813
19,5332.01,1.54953,1.16736,1.50471,0.727,0.48773,0.52494,0.25668,1.8178,1.32138,1.81504,0.000270802,0.000270802,0.000270802
20,5507.36,1.53347,1.14518,1.49895,0.74913,0.49366,0.53298,0.25875,1.80486,1.28176,1.80288,0.000248791,0.000248791,0.000248791
21,5718.1,1.54458,1.1385,1.59536,0.64131,0.49783,0.53025,0.25819,1.77919,1.28655,1.81161,0.00022678,0.00022678,0.00022678
22,6135.85,1.50652,1.09775,1.56604,0.65269,0.50261,0.54856,0.27211,1.76549,1.25818,1.79303,0.000204769,0.000204769,0.000204769
23,6236.93,1.49458,1.06129,1.55961,0.57957,0.53244,0.5595,0.27212,1.76453,1.2387,1.78666,0.000182758,0.000182758,0.000182758
24,6418.02,1.4762,1.0572,1.55572,0.66964,0.51579,0.55228,0.26905,1.79174,1.22786,1.81621,0.000160747,0.000160747,0.000160747
25,6579.49,1.46761,1.03477,1.53901,0.69387,0.53079,0.54982,0.26781,1.77578,1.22822,1.79849,0.000138736,0.000138736,0.000138736
26,6740.42,1.44585,1.00821,1.5266,0.65037,0.51422,0.55233,0.27814,1.74364,1.19889,1.76502,0.000116725,0.000116725,0.000116725
27,6923.54,1.43561,0.99881,1.51568,0.66591,0.53488,0.55873,0.28024,1.75394,1.20712,1.78598,9.4714e-05,9.4714e-05,9.4714e-05
28,7124.55,1.415,0.97853,1.49204,0.6715,0.54063,0.56544,0.28416,1.75267,1.18524,1.77855,7.2703e-05,7.2703e-05,7.2703e-05
29,7292.53,1.41148,0.96838,1.4806,0.63556,0.53135,0.55511,0.27557,1.75025,1.18906,1.77302,5.0692e-05,5.0692e-05,5.0692e-05
30,7466.64,1.4104,0.97662,1.50038,0.64658,0.54584,0.56083,0.28186,1.75079,1.18678,1.77703,2.8681e-05,2.8681e-05,2.8681e-05
